District,Tehsil,Village/Town,Property_Type,Ownership,Size_sq_m,Market_Price,Stamp_Duty%,Registration%,Broker%,Population,Amenities,Road_Access,Nearest_Neigh_km
Sehore,Sehore,Kachhi Barod,Agricultural,Private,4911.6,13745598,5.0,2,4,2589,11,No,0.6
Sehore,Jawar,Doraha Mal,Commercial,Government,13137.0,59416644,5.0,2,0,4912,4,Yes,17.2
Sehore,Shyampur,Ralayati,Industrial,Government,6231.9,48504362,7.5,3,5,9478,15,No,15.0
Sehore,Rehti,Jetpura,Industrial,Institutional,5518.6,46378572,5.0,3,4,5900,2,Yes,6.5
Sehore,Jawar,Mangrola,Mixed-use,Government,1521.6,12689894,7.5,3,4,5186,2,Yes,14.4
Sehore,Jawar,Khejra Khurd,Agricultural,Private,6946.8,31281216,7.5,3,0,2857,1,No,11.2
Sehore,Ashta,Kachnariya,Industrial,Government,1031.6,3956494,7.5,3,4,4178,15,Yes,14.3
Sehore,Shyampur,Jhal,Commercial,Cooperative,3290.8,15193274,7.5,3,2,3860,10,No,3.0
Sehore,Rehti,Sehore City,Mixed-use,Private,10704.7,41392892,5.0,2,4,1092,9,No,14.6
Sehore,Jawar,Bagwada,Mixed-use,Government,12549.2,15509562,6.0,2,2,1509,2,No,11.5
Sehore,Sehore,Sonda,Industrial,Cooperative,2146.6,8041942,5.0,3,2,2956,12,No,17.6
Sehore,Shyampur,Kurawar,Commercial,Institutional,6069.3,17073679,7.5,2,2,7451,13,Yes,10.5
Sehore,Ashta,Kachnariya Kalan,Residential,Private,10266.0,18108429,5.0,2,0,5405,7,No,0.7
Sehore,Rehti,Kothri,Commercial,Government,9576.3,47743705,7.5,2,2,1638,14,Yes,12.0
Sehore,Ichhawar,Ralayati,Commercial,Government,12230.3,55780583,7.5,2,4,2020,13,No,18.7
Sehore,Budhni,Kachnariya,Commercial,Government,13511.4,67303099,7.5,2,4,5577,8,No,15.7
Sehore,Budhni,Jetpura Kalan,Mixed-use,Private,5128.1,20130603,5.0,3,1,6673,1,No,1.3
Sehore,Shyampur,Bamuliya Mal,Mixed-use,Private,12728.8,21990629,7.5,3,4,9274,10,No,15.2
Sehore,Jawar,Pathar,Agricultural,Government,6762.7,17477063,7.5,3,3,7179,7,Yes,9.9
Sehore,Shyampur,Kachhi Barod,Agricultural,Cooperative,9176.2,31632019,6.0,2,4,732,4,Yes,6.2
Sehore,Ichhawar,Rasuliya Khurd,Agricultural,Private,8051.6,11092370,6.0,3,1,5813,9,Yes,16.5
Sehore,Sehore,Pipliya,Mixed-use,Government,7670.5,49467569,5.0,2,0,7541,3,Yes,14.3
Sehore,Budhni,Pipalia,Industrial,Government,8601.5,50784429,5.0,3,1,11344,2,No,0.2
Sehore,Jawar,Bamuliya Mal,Agricultural,Government,14807.3,112721722,6.0,3,0,2604,3,Yes,12.5
Sehore,Nasrullaganj,Kalapipal,Mixed-use,Institutional,3136.8,25186774,7.5,3,3,11359,1,No,16.5
Sehore,Sehore,Mardikhurd,Commercial,Cooperative,3861.1,4183261,7.5,3,0,11453,13,No,2.7
Sehore,Jawar,Doraha,Residential,Private,2451.1,17965387,5.0,2,4,5413,3,No,19.1
Sehore,Sehore,Pathar,Mixed-use,Institutional,4327.8,24066319,5.0,2,3,3361,2,No,4.1
Sehore,Ashta,Gopalpur,Industrial,Private,1742.2,2272264,6.0,2,0,11414,13,Yes,4.9
Sehore,Rehti,Ralayati,Commercial,Cooperative,8987.3,11938866,7.5,2,1,11926,6,Yes,11.4
Sehore,Ichhawar,Magarda,Agricultural,Government,5303.7,13817169,7.5,2,3,6276,3,No,10.2
Sehore,Jawar,Banet,Commercial,Institutional,9897.5,44647353,6.0,2,1,9907,9,No,11.2
Sehore,Ichhawar,Gunaur,Agricultural,Private,1741.6,2649062,7.5,2,4,11854,3,No,7.5
Sehore,Ichhawar,Kachhi Barod,Commercial,Private,5767.7,31732116,6.0,2,1,10343,1,Yes,0.5
Sehore,Shyampur,Bagmau,Industrial,Institutional,10309.3,42207688,7.5,2,5,8087,10,No,7.0
Sehore,Shyampur,Borkhedi,Commercial,Cooperative,8083.9,31374272,5.0,3,5,2906,7,No,17.7
Sehore,Rehti,Budhni,Industrial,Institutional,2228.2,10426765,7.5,2,3,2098,14,No,4.2
Sehore,Sehore,Sonda Khurd,Industrial,Cooperative,11023.1,50167706,6.0,3,2,5584,6,No,2.7
Sehore,Jawar,Bagwada,Commercial,Government,8560.3,73481958,7.5,3,3,9031,14,No,7.6
Sehore,Nasrullaganj,Ladkui,Industrial,Government,7095.9,37910766,6.0,3,4,6802,1,Yes,4.4
